figure_family	figure_title	panel	panel_title	panel_purpose	module_rank	feature_id	display_label	validation_class	infection_direction	infection_coherence	preterm_effect	preterm_coherence	dataset_effects
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	1	LEPTIN_SIGNALING	Leptin signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0	GSE112098=0.3544|FDR10=True;GSE186800=0.7289|FDR10=False;GSE252321=0.9901|FDR10=False;GSE280297=0.3395|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	2	GLYCOLYSIS	Glycolysis	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666	GSE112098=0.5186|FDR10=True;GSE186800=-0.0933|FDR10=False;GSE252321=1.0086|FDR10=False;GSE280297=-0.4066|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	3	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	limited_independent_support	positive	1.0	-0.5059353303526654	0.6666666666666666	GSE112098=0.4390|FDR10=True;GSE186800=0.1633|FDR10=False;GSE252321=1.4473|FDR10=False;GSE280297=0.2726|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	4	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	limited_independent_support	positive	0.6923076923076923	-0.4545503584274861	1.0	GSE112098=0.4356|FDR10=True;GSE186800=0.3495|FDR10=False;GSE252321=1.3710|FDR10=False;GSE280297=-0.1815|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	1	LEPTIN_SIGNALING	Leptin signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0	GSE112098=0.3544|FDR10=True;GSE186800=0.7289|FDR10=False;GSE252321=0.9901|FDR10=False;GSE280297=0.3395|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	2	GLYCOLYSIS	Glycolysis	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666	GSE112098=0.5186|FDR10=True;GSE186800=-0.0933|FDR10=False;GSE252321=1.0086|FDR10=False;GSE280297=-0.4066|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	3	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	limited_independent_support	positive	1.0	-0.5059353303526654	0.6666666666666666	GSE112098=0.4390|FDR10=True;GSE186800=0.1633|FDR10=False;GSE252321=1.4473|FDR10=False;GSE280297=0.2726|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	4	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	limited_independent_support	positive	0.6923076923076923	-0.4545503584274861	1.0	GSE112098=0.4356|FDR10=True;GSE186800=0.3495|FDR10=False;GSE252321=1.3710|FDR10=False;GSE280297=-0.1815|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	1	LEPTIN_SIGNALING	Leptin signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0	GSE112098=0.3544|FDR10=True;GSE186800=0.7289|FDR10=False;GSE252321=0.9901|FDR10=False;GSE280297=0.3395|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	2	GLYCOLYSIS	Glycolysis	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666	GSE112098=0.5186|FDR10=True;GSE186800=-0.0933|FDR10=False;GSE252321=1.0086|FDR10=False;GSE280297=-0.4066|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	3	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	limited_independent_support	positive	1.0	-0.5059353303526654	0.6666666666666666	GSE112098=0.4390|FDR10=True;GSE186800=0.1633|FDR10=False;GSE252321=1.4473|FDR10=False;GSE280297=0.2726|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	4	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	limited_independent_support	positive	0.6923076923076923	-0.4545503584274861	1.0	GSE112098=0.4356|FDR10=True;GSE186800=0.3495|FDR10=False;GSE252321=1.3710|FDR10=False;GSE280297=-0.1815|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	1	LEPTIN_SIGNALING	Leptin signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0	GSE112098=0.3544|FDR10=True;GSE186800=0.7289|FDR10=False;GSE252321=0.9901|FDR10=False;GSE280297=0.3395|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	2	GLYCOLYSIS	Glycolysis	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666	GSE112098=0.5186|FDR10=True;GSE186800=-0.0933|FDR10=False;GSE252321=1.0086|FDR10=False;GSE280297=-0.4066|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	3	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	limited_independent_support	positive	1.0	-0.5059353303526654	0.6666666666666666	GSE112098=0.4390|FDR10=True;GSE186800=0.1633|FDR10=False;GSE252321=1.4473|FDR10=False;GSE280297=0.2726|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	4	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	limited_independent_support	positive	0.6923076923076923	-0.4545503584274861	1.0	GSE112098=0.4356|FDR10=True;GSE186800=0.3495|FDR10=False;GSE252321=1.3710|FDR10=False;GSE280297=-0.1815|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	1	LEPTIN_SIGNALING	Leptin signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.7524117043029656	1.0	GSE112098=0.3544|FDR10=True;GSE186800=0.7289|FDR10=False;GSE252321=0.9901|FDR10=False;GSE280297=0.3395|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	2	GLYCOLYSIS	Glycolysis	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1598284548654182	0.6666666666666666	GSE112098=0.5186|FDR10=True;GSE186800=-0.0933|FDR10=False;GSE252321=1.0086|FDR10=False;GSE280297=-0.4066|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	3	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	limited_independent_support	positive	1.0	-0.5059353303526654	0.6666666666666666	GSE112098=0.4390|FDR10=True;GSE186800=0.1633|FDR10=False;GSE252321=1.4473|FDR10=False;GSE280297=0.2726|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	4	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	limited_independent_support	positive	0.6923076923076923	-0.4545503584274861	1.0	GSE112098=0.4356|FDR10=True;GSE186800=0.3495|FDR10=False;GSE252321=1.3710|FDR10=False;GSE280297=-0.1815|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	5	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	limited_independent_support	positive	0.6923076923076923	-0.2537689491728889	0.6666666666666666	GSE112098=0.1824|FDR10=True;GSE186800=-0.1267|FDR10=False;GSE252321=2.0614|FDR10=False;GSE280297=0.2354|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	6	PI3K_AKT_SIGNALING	PI3K-AKT signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	1.0	-0.6352753686157185	1.0	GSE112098=0.3307|FDR10=True;GSE186800=0.7117|FDR10=False;GSE252321=0.5145|FDR10=False;GSE280297=0.1040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	7	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	limited_independent_support	positive	0.6923076923076923	0.0270436827566696	0.6666666666666666	GSE112098=0.1889|FDR10=True;GSE186800=0.4479|FDR10=False;GSE252321=0.5452|FDR10=False;GSE280297=-0.2397|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	8	AGE_RAGE_SIGNALING	AGE-RAGE signaling	limited_independent_support	positive	0.6923076923076923	-0.0415273486691742	0.6666666666666666	GSE112098=0.3263|FDR10=True;GSE186800=0.0744|FDR10=False;GSE252321=0.7252|FDR10=False;GSE280297=-0.2087|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	9	GLYCOGEN_SYNTHESIS	Glycogen synthesis	two_dataset_concordant_effect	positive	0.6923076923076923	-0.3027964300522092	0.6666666666666666	GSE112098=0.1062|FDR10=False;GSE186800=0.5936|FDR10=False;GSE252321=1.6018|FDR10=False;GSE280297=-0.0040|FDR10=False
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	10	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	context_divergent_or_tissue_specific	positive	0.6153846153846154	0.1498006661778333	0.6666666666666666	GSE112098=0.2952|FDR10=True;GSE186800=-0.2188|FDR10=False;GSE252321=-0.4690|FDR10=False;GSE280297=0.4285|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	1	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	context_divergent_or_tissue_specific	negative	0.6153846153846154	0.359912719386311	1.0	GSE112098=0.5130|FDR10=True;GSE186800=-0.0147|FDR10=False;GSE252321=0.8909|FDR10=False;GSE280297=-0.0112|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	2	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.0167083531948147	0.6666666666666666	GSE112098=0.1616|FDR10=True;GSE186800=-0.1855|FDR10=False;GSE252321=0.8087|FDR10=False;GSE280297=-0.4823|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	3	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.1685339223966387	0.6666666666666666	GSE112098=0.2147|FDR10=True;GSE186800=-0.0814|FDR10=False;GSE252321=1.4385|FDR10=False;GSE280297=-0.3257|FDR10=False
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	4	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	limited_independent_support	positive	0.6923076923076923	-0.2413652263709858	1.0	GSE112098=0.2861|FDR10=True;GSE186800=-0.0092|FDR10=False;GSE252321=0.6909|FDR10=False;GSE280297=0.2901|FDR10=False
