figure_number	figure_title	panel	panel_key	frozen_panel_title	definitive_panel_legend	source_roles	source_paths	source_value_table	source_value_rows_for_panel	panel_crop	figure_svg
5	Steroid, cholesterol and lipid-remodeling architecture	C	Figure_5C	Broad-cell endocrine/lipid localization	Domain-level steroid synthesis-response decoupling reproduced within the focused endocrine figure.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
5	Steroid, cholesterol and lipid-remodeling architecture	D	Figure_5D	Steroid synthesis versus response branch map	Comparison of median independent infection effects with collapsed preterm-versus-term effects for selected endocrine modules. Numbered points correspond to the inset key and preserve all plotted values without implying a causal relationship between infection and pregnancy effects.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
5	Steroid, cholesterol and lipid-remodeling architecture	E	Figure_5E	Pan-immune cholesterol-synthesis suppression	Broad-cell localization of endocrine and lipid modules across NK cells, T cells, cycling immune cells, dendritic cells, macrophage/monocytes and neutrophils.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	48	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
5	Steroid, cholesterol and lipid-remodeling architecture	F	Figure_5F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	Lipid-droplet dynamics, PPAR/SREBP/LXR regulation, ferroptosis-linked lipid peroxidation, fatty-acid synthesis and oxidation, phospholipid, sphingolipid/ceramide and eicosanoid/prostaglandin programs across pregnancy and infection contexts.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	8	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
5	Steroid, cholesterol and lipid-remodeling architecture	G	Figure_5G	Highest-support refined cellular subtypes	Six strongest refined-subtype localization supports for endocrine and lipid modules, ranked by the bounded composite cellular-support score.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	6	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	A	Figure_6A	Independent adipokine/insulin/carbon effects	Independent effects for leptin, resistin, insulin receptor/IRS, PI3K-AKT and inflammatory-carbon modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	44	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	B	Figure_6B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	Pregnancy-associated adipokine and insulin effects across bladder, placenta and uterus.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	C	Figure_6C	Broad-cell signaling trajectories	Broad-cell localization of adipokine, insulin/IRS, PI3K-AKT and inflammatory-carbon modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	54	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	D	Figure_6D	Refined-subtype adipokine and carbon support	Six strongest refined-subtype supports for immunometabolic modules, ranked by the bounded composite cellular-support score.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	6	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	E	Figure_6E	Leptin-IRS-PI3K/AKT network	Evidence-weighted leptin-IRS-PI3K/AKT model linking leptin and insulin receptor signaling to inflammatory carbon and glycogen-use programs. The topology is hypothesis-generating and not a direct causal model.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	0	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	F	Figure_6F	Glycolysis, HIF1A, glycogen and pentose phosphate	Transcriptionally inferred glycolysis, lactate/HIF1A, glycogen, pentose-phosphate, gluconeogenic and tricarboxylic-acid-cycle programs across the pregnancy and infection contexts.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	G	Figure_6G	Amino-acid transport and arginine-NO-urea	Amino-acid transport, arginine/nitric-oxide, urea-cycle, glutamine, tryptophan, methionine/SAM and serine/glycine/one-carbon programs across contexts.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
6	Adipokine, insulin and integrated immunometabolic remodeling	H	Figure_6H	Purine, NAD and NRF2-redox remodeling	Purine salvage and degradation, pyrimidine synthesis and degradation, NAD metabolism, xanthine oxidase/oxidative purine catabolism and NRF2-redox programs across contexts.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_H.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg
7	Complement branch and cellular architecture	A	Figure_7A	Complement effects organized by stage	Independent effects for complement modules with eligible evidence, including classical, lectin and alternative initiation, C3 convertase/amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology, regulation and coagulation crosstalk.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	36	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	B	Figure_7B	Pregnancy complement effects	Preterm-versus-term complement effects across bladder, placenta and uterus.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	9	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	C	Figure_7C	Broad-cell complement localization	Broad-cell localization of complement branches using cell-type pseudobulk module effects.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	42	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	D	Figure_7D	Refined-subtype complement support	Six strongest refined-subtype supports for complement modules, ranked by the bounded composite cellular-support score.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	6	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	E	Figure_7E	Complement branch topology	Complement topology linking classical, lectin and alternative entry routes to C3 convertase/amplification and the C3a/C5a, opsonophagocytic and terminal membrane-attack-complex branches. Regulatory and coagulation modules can act across multiple stages.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	0	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	F	Figure_7F	C3a/C5a versus opsonophagocytosis	Comparison of median independent infection effects with collapsed preterm-versus-term effects for complement stages. Numbered points correspond to the inset key.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	9	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
7	Complement branch and cellular architecture	G	Figure_7G	Coverage and evidence map	Number of broad immune populations with eligible cellular values for each complement stage. Absence from this panel indicates unavailable cell-level support rather than evidence of biological absence.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	A	Figure_8A	Core modules across infection and pregnancy contexts	Selected recurrent modules across independent infection datasets and the preterm-versus-term context.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	50	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	B	Figure_8B	Cell-source-resolved core localization	Cell-source-resolved localization of the integrated recurrent core.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	60	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	C	Figure_8C	UPEC-associated cell-composition shifts	UPEC-associated broad-cell composition shifts, expressed as the difference in cellular fraction between UPEC and control samples.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	D	Figure_8D	Treg-like and TNFSF9 macrophage states	UPEC-associated differences in strict and expanded Treg-like fractions and TNFSF9-positive or TNFSF9-high macrophage states.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	E	Figure_8E	Integrated mechanistic network	Integrated hypothesis network connecting UPEC/TLR4 signaling with leptin-IRS-PI3K/AKT, complement/opsonophagocytosis, steroid/lipid branching, carbon/nitrogen/redox remodeling, cell-type localization and pregnancy- or tissue-specific outcomes.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	20	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
8	Integrated endocrine-metabolic-immune model and evidence boundaries	F	Figure_8F	Evidence hierarchy and limitations	Evidence and interpretation boundary separating robust recurrent concordance, provisional independently supported biology and contextual hypothesis-generating effects.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg
