figure_number	final_figure	figure_title	panel	panel_key	panel_title	panel_title_source_column	source_id	construction_mode	primary_source	figure_png	figure_svg	figure_pdf	panel_crop	source_value_table
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	G	Figure_5G	Highest-support refined cellular subtypes	panel_title	U27A4_Figure_7D	reuse_and_rebuild	U27A4 Figure 7D	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	A	Figure_6A	Independent adipokine/insulin/carbon effects	panel_title	U27A4_Figure_8A	reuse_and_rebuild	U27A4 Figure 8A	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	B	Figure_6B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	panel_title	U27A4_Figure_8B	reuse_and_rebuild	U27A4 Figure 8B	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	C	Figure_6C	Broad-cell signaling trajectories	panel_title	U27A4_Figure_8C	reuse_and_rebuild	U27A4 Figure 8C	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	D	Figure_6D	Refined-subtype adipokine and carbon support	panel_title	U27A4_Figure_8D	reuse_and_rebuild	U27A4 Figure 8D	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	E	Figure_6E	Leptin-IRS-PI3K/AKT network	panel_title	U26C1_U26D2C_metabolic_network	table_driven_rebuild	U26C1/U26D2C core synthesis	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	F	Figure_6F	Glycolysis, HIF1A, glycogen and pentose phosphate	panel_title	U26D2C_carbon	table_driven_rebuild	U26D2C broad/subtype reliability	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	G	Figure_6G	Amino-acid transport and arginine-NO-urea	panel_title	U27A4_Figure_9_selected_AA_NO	selected_rebuild	U27A4 Figure 9 source data	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
6	Figure_6	Adipokine, insulin and integrated immunometabolic remodeling	H	Figure_6H	Purine, NAD and NRF2-redox remodeling	panel_title	U27A4_Figure_9_selected_purine_redox	selected_rebuild	U27A4 Figure 9 source data	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	A	Figure_7A	Complement effects organized by stage	panel_title	U27A4_Figure_10A	reuse_and_rebuild	U27A4 Figure 10A	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	B	Figure_7B	Pregnancy complement effects	panel_title	U27A4_Figure_10B	reuse_and_rebuild	U27A4 Figure 10B	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	C	Figure_7C	Broad-cell complement localization	panel_title	U27A4_Figure_10C	reuse_and_rebuild	U27A4 Figure 10C	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	D	Figure_7D	Refined-subtype complement support	panel_title	U27A4_Figure_10D	reuse_and_rebuild	U27A4 Figure 10D	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	E	Figure_7E	Complement branch topology	panel_title	U26C1_U26D2C_complement_topology	table_driven_rebuild	U26C1/U26D2C complement synthesis	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	F	Figure_7F	C3a/C5a versus opsonophagocytosis	panel_title	U26D2C_complement_comparison	table_driven_rebuild	U26D2C cellular attribution	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
7	Figure_7	Complement branch and cellular architecture	G	Figure_7G	Coverage and evidence map	panel_title	U26D2B_complement_coverage	table_driven_rebuild	U26D2B module coverage	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	A	Figure_8A	Core modules across infection and pregnancy contexts	panel_title	U27A4_Figure_11A	reuse_and_rebuild	U27A4 Figure 11A	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	B	Figure_8B	Cell-source-resolved core localization	panel_title	U27A4_Figure_11B	reuse_and_rebuild	U27A4 Figure 11B	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	C	Figure_8C	UPEC-associated cell-composition shifts	panel_title	U27A4_Figure_11C_composition	selected_rebuild	U27A4 Figure 11C composition subset	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	D	Figure_8D	Treg-like and TNFSF9 macrophage states	panel_title	U27A4_Figure_11C_targeted	selected_rebuild	U27A4 Figure 11C targeted-state subset	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	E	Figure_8E	Integrated mechanistic network	panel_title	U27A4_Figure_11D	reuse_and_rebuild	U27A4 Figure 11D	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
8	Figure_8	Integrated endocrine-metabolic-immune model and evidence boundaries	F	Figure_8F	Evidence hierarchy and limitations	panel_title	U26C1_U26D2C_evidence_boundary	table_driven_rebuild	U26C1 claim priorities and U26D2C boundaries	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv
