final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	figure_number	figure_title	panel_title_source_column	figure_png	figure_svg	figure_pdf	source_value_table	panel_crop
Figure_5	A	Independent endocrine/lipid infection effects	reuse_and_rebuild	U27A4 Figure 7A	U27A4_Figure_7A	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5A	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_A.png
Figure_5	B	Pregnancy endocrine/lipid effects	reuse_and_rebuild	U27A4 Figure 7B	U27A4_Figure_7B	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5B	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_B.png
Figure_5	C	Broad-cell endocrine/lipid localization	reuse_and_rebuild	U27A4 Figure 7C	U27A4_Figure_7C	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5C	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_C.png
Figure_5	D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1 steroid branch summary	U26C1_steroid_quadrant	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5D	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_D.png
Figure_5	E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C broad reliability	U26D2C_cholesterol	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5E	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_E.png
Figure_5	F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C broad and subtype reliability	U26D2C_lipid_stress	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5F	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_F.png
Figure_5	G	Highest-support refined cellular subtypes	reuse_and_rebuild	U27A4 Figure 7D	U27A4_Figure_7D	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5G	frozen	5	Steroid, cholesterol and lipid-remodeling architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_G.png
Figure_6	A	Independent adipokine/insulin/carbon effects	reuse_and_rebuild	U27A4 Figure 8A	U27A4_Figure_8A	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6A	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_A.png
Figure_6	B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	reuse_and_rebuild	U27A4 Figure 8B	U27A4_Figure_8B	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6B	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_B.png
Figure_6	C	Broad-cell signaling trajectories	reuse_and_rebuild	U27A4 Figure 8C	U27A4_Figure_8C	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6C	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_C.png
Figure_6	D	Refined-subtype adipokine and carbon support	reuse_and_rebuild	U27A4 Figure 8D	U27A4_Figure_8D	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6D	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_D.png
Figure_6	E	Leptin-IRS-PI3K/AKT network	table_driven_rebuild	U26C1/U26D2C core synthesis	U26C1_U26D2C_metabolic_network	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6E	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_E.png
Figure_6	F	Glycolysis, HIF1A, glycogen and pentose phosphate	table_driven_rebuild	U26D2C broad/subtype reliability	U26D2C_carbon	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6F	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_F.png
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_G.png
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen	6	Adipokine, insulin and integrated immunometabolic remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_6_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_6_panel_H.png
Figure_7	A	Complement effects organized by stage	reuse_and_rebuild	U27A4 Figure 10A	U27A4_Figure_10A	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7A	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_A.png
Figure_7	B	Pregnancy complement effects	reuse_and_rebuild	U27A4 Figure 10B	U27A4_Figure_10B	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7B	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_B.png
Figure_7	C	Broad-cell complement localization	reuse_and_rebuild	U27A4 Figure 10C	U27A4_Figure_10C	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7C	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_C.png
Figure_7	D	Refined-subtype complement support	reuse_and_rebuild	U27A4 Figure 10D	U27A4_Figure_10D	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7D	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_D.png
Figure_7	E	Complement branch topology	table_driven_rebuild	U26C1/U26D2C complement synthesis	U26C1_U26D2C_complement_topology	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7E	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_E.png
Figure_7	F	C3a/C5a versus opsonophagocytosis	table_driven_rebuild	U26D2C cellular attribution	U26D2C_complement_comparison	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7F	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_F.png
Figure_7	G	Coverage and evidence map	table_driven_rebuild	U26D2B module coverage	U26D2B_complement_coverage	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7G	frozen	7	Complement branch and cellular architecture	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_7_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_7_panel_G.png
Figure_8	A	Core modules across infection and pregnancy contexts	reuse_and_rebuild	U27A4 Figure 11A	U27A4_Figure_11A	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8A	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_A.png
Figure_8	B	Cell-source-resolved core localization	reuse_and_rebuild	U27A4 Figure 11B	U27A4_Figure_11B	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8B	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_B.png
Figure_8	C	UPEC-associated cell-composition shifts	selected_rebuild	U27A4 Figure 11C composition subset	U27A4_Figure_11C_composition	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8C	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_C.png
Figure_8	D	Treg-like and TNFSF9 macrophage states	selected_rebuild	U27A4 Figure 11C targeted-state subset	U27A4_Figure_11C_targeted	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8D	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_D.png
Figure_8	E	Integrated mechanistic network	reuse_and_rebuild	U27A4 Figure 11D	U27A4_Figure_11D	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8E	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_E.png
Figure_8	F	Evidence hierarchy and limitations	table_driven_rebuild	U26C1 claim priorities and U26D2C boundaries	U26C1_U26D2C_evidence_boundary	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8F	frozen	8	Integrated endocrine-metabolic-immune model and evidence boundaries	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_8_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_8_panel_F.png
