paragraph_index	style	text_length	is_blank	text
124	Normal	1736	False	Figure 3. Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling. (A) Pregnancy and tissue design for GSE280297, showing the distribution of mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC samples across bladder, placenta and uterus. (B) Selected preterm-versus-term effects by tissue, illustrating the branch-selective pregnancy remodeling of endocrine, metabolic and complement modules. (C) Cross-tissue coherence of selected modules. Points show the median Hedges g across eligible tissues, with the accompanying directional-coherence annotation indicating whether tissue-specific estimates shared the same sign. (D) Domain-level summary of steroid synthesis-response decoupling. Steroidogenic and complement-effector branches tended to differ from attenuated steroid-receptor and metabolic-effector responses, supporting a branch-selective rather than globally activated or suppressed model. (E) UPEC-versus-PBS effects during pregnancy across tissues for selected signaling, endocrine, lipid, carbon and complement modules. (F) Pregnant-versus-nonpregnant bladder effects, summarized as Hedges g for selected modules. (G) Complement and inflammatory-carbon branches across the available pregnancy, infection and tissue contrasts. (H) Working model in which UPEC exposure during pregnancy engages TLR4/complement and inflammatory-carbon responses while steroid synthesis and androgen branches are partly uncoupled from attenuated receptor and metabolic-effector programs, producing tissue-specific outcome biology. Pregnancy findings are exploratory because no broad pregnancy-wide false-discovery-rate signal was detected. Tissue samples are the inferential units; no dam-level inference is made.
125	Normal	0	True	
126	Normal	1778	False	Figure 4. Single-cell composition, immune states and cellular localization. (A) Balanced two-dimensional embedding of quality-controlled GSE252321 single cells, colored by broad immune population after marker-based reconstruction. (B) Cluster-marker validation heatmap using one high-priority marker per cluster to support the reconstructed broad and refined immune labels. (C) Broad-cell composition in two control and two UPEC samples. Bars show the fraction of quality-controlled cells assigned to each broad immune population. (D) Relative abundance of refined immune subtypes across the four biological samples, including inflammatory monocytes, reparative macrophages, activated dendritic cells, cycling immune cells and regulatory/type-2-like lymphoid states. (E) Fractions of macrophage/monocyte cells with detectable TNFSF9 and with TNFSF9 expression above the prespecified pooled high-expression threshold in control and UPEC samples. (F) Strict and expanded Treg-like fractions within T cells. Strict Treg-like cells required FOXP3 together with at least one supporting marker; the expanded definition required FOXP3 or at least two supporting markers. (G) Broad-cell localization of selected recurrent endocrine, metabolic, complement and inflammatory modules using module-mean gene log2 fold changes from independently constructed cell-type pseudobulks. (H) Descriptive model linking UPEC-associated myeloid expansion and activation, TNFSF9-positive macrophage states, T-cell/dendritic module localization and expansion of regulatory-inflammatory Treg-like states. Cellular analyses are descriptive and hypothesis-generating because GSE252321 contains n=2 control and n=2 UPEC biological samples. The minimum attainable exact two-sided permutation p-value is 0.333.
127	Normal	0	True	
128	Normal	1584	False	Figure 5. Steroid, cholesterol and lipid-remodeling architecture. (A) Independent infection effects for steroidogenesis, androgen/testosterone and estrogen biology, cholesterol handling, receptor responses and lipid-regulatory or lipid-stress modules. (B) Preterm-versus-term endocrine effects across bladder, placenta and uterus, including steroidogenesis, androgen/testosterone, estrogen, cholesterol and receptor-response branches. (C) Domain-level steroid synthesis-response decoupling reproduced within the focused endocrine figure. (D) Comparison of median independent infection effects with collapsed preterm-versus-term effects for selected endocrine modules. Numbered points correspond to the inset key and preserve all plotted values without implying a causal relationship between infection and pregnancy effects. (E) Broad-cell localization of endocrine and lipid modules across NK cells, T cells, cycling immune cells, dendritic cells, macrophage/monocytes and neutrophils. (F) Lipid-droplet dynamics, PPAR/SREBP/LXR regulation, ferroptosis-linked lipid peroxidation, fatty-acid synthesis and oxidation, phospholipid, sphingolipid/ceramide and eicosanoid/prostaglandin programs across pregnancy and infection contexts. (G) Six strongest refined-subtype localization supports for endocrine and lipid modules, ranked by the bounded composite cellular-support score. Steroid biology is interpreted as branch-selective synthesis-response decoupling rather than global activation or suppression. Metabolic modules indicate transcriptionally inferred pathway activity, not flux.
129	Normal	0	True	
130	Normal	1368	False	Figure 6. Adipokine, insulin and integrated immunometabolic remodeling. (A) Independent effects for leptin, resistin, insulin receptor/IRS, PI3K-AKT and inflammatory-carbon modules. (B) Pregnancy-associated adipokine and insulin effects across bladder, placenta and uterus. (C) Broad-cell localization of adipokine, insulin/IRS, PI3K-AKT and inflammatory-carbon modules. (D) Six strongest refined-subtype supports for immunometabolic modules, ranked by the bounded composite cellular-support score. (E) Evidence-weighted leptin-IRS-PI3K/AKT model linking leptin and insulin receptor signaling to inflammatory carbon and glycogen-use programs. The topology is hypothesis-generating and not a direct causal model. (F) Transcriptionally inferred glycolysis, lactate/HIF1A, glycogen, pentose-phosphate, gluconeogenic and tricarboxylic-acid-cycle programs across the pregnancy and infection contexts. (G) Amino-acid transport, arginine/nitric-oxide, urea-cycle, glutamine, tryptophan, methionine/SAM and serine/glycine/one-carbon programs across contexts. (H) Purine salvage and degradation, pyrimidine synthesis and degradation, NAD metabolism, xanthine oxidase/oxidative purine catabolism and NRF2-redox programs across contexts. Metabolic panels represent transcriptionally inferred pathway activity and do not quantify metabolite concentrations, reaction rates or flux.
131	Normal	0	True	
132	Normal	1398	False	Figure 7. Complement branch and cellular architecture. (A) Independent effects for complement modules with eligible evidence, including classical, lectin and alternative initiation, C3 convertase/amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology, regulation and coagulation crosstalk. (B) Preterm-versus-term complement effects across bladder, placenta and uterus. (C) Broad-cell localization of complement branches using cell-type pseudobulk module effects. (D) Six strongest refined-subtype supports for complement modules, ranked by the bounded composite cellular-support score. (E) Complement topology linking classical, lectin and alternative entry routes to C3 convertase/amplification and the C3a/C5a, opsonophagocytic and terminal membrane-attack-complex branches. Regulatory and coagulation modules can act across multiple stages. (F) Comparison of median independent infection effects with collapsed preterm-versus-term effects for complement stages. Numbered points correspond to the inset key. (G) Number of broad immune populations with eligible cellular values for each complement stage. Absence from this panel indicates unavailable cell-level support rather than evidence of biological absence. Complement recurrence, particularly C3a/C5a signaling and opsonophagocytosis, remains provisional where independent sample support is limited.
133	Normal	0	True	
134	Normal	1065	False	Figure 8. Integrated endocrine-metabolic-immune model and evidence boundaries. (A) Selected recurrent modules across independent infection datasets and the preterm-versus-term context. (B) Cell-source-resolved localization of the integrated recurrent core. (C) UPEC-associated broad-cell composition shifts, expressed as the difference in cellular fraction between UPEC and control samples. (D) UPEC-associated differences in strict and expanded Treg-like fractions and TNFSF9-positive or TNFSF9-high macrophage states. (E) Integrated hypothesis network connecting UPEC/TLR4 signaling with leptin-IRS-PI3K/AKT, complement/opsonophagocytosis, steroid/lipid branching, carbon/nitrogen/redox remodeling, cell-type localization and pregnancy- or tissue-specific outcomes. (F) Evidence and interpretation boundary separating robust recurrent concordance, provisional independently supported biology and contextual hypothesis-generating effects. The integrated network is a synthesis of recurrent, provisional and contextual associations. It is not a direct causal model.
